ROWNUM;NAME;LOCATION_DESCRIPTION;CAPACITY;DEPART_AFFILITAION;OPERATING_ORG_NAME;OPERATING_ORG_PHONE;X_WGS;Y_WGS;
1;"Велосипедная парковка №11001 ""Метро Арбатская, Арбатско-Покровской линии""";"Парковка около метро Арбатская Арбатско-Покровской линии метрополитена";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6038";"55,7526";
2;"Велосипедная парковка №11002 ""Метро Арбатская,  Филевской линии""";"Парковка около метро Арбатская  Филевской линии метрополитена";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6007";"55,7519";
3;"Велосипедная парковка №11006 ""Метро Боровицкая""";"Парковка рядом с метро Боровицкая";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6093";"55,7505";
4;"Велосипедная парковка №11015 ""Метро Кузнецкий мост""";"Парковка вблизи метро Кузнецкий мост";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6239";"55,7609";
5;"Велосипедная парковка №11024 ""Большая Якиманка""";"ул. Большая Якиманка, м. Октябрьская Метро Октбярьская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6121";"55,729";
6;"Велосипедная парковка №11045 ""Трубная площадь""";"Трубная площадь. Рядом с метро Трубная";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6218";"55,7669";
7;"Велосипедная парковка №11046 ""Сретенский бульвар, напротив  д. 11""";"Сретенский бульвар, напротив  д. 11. Рядом с метро Тургеневская";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6364";"55,7668";
8;"Велосипедная парковка №11050 ""Цветной бульвар, 17""";"Цветной бульвар, 17 Метро «Цветной бульвар».";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6203";"55,7717";
9;"Велосипедная парковка №11052 ""Площадь Мясницкие ворота, 1с3""";"Площадь Мясницкие ворота 1с3. Рядом с метро Чистые пруды";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6384";"55,7649";
10;"Велосипедная парковка №21001 ""2-й Зачатьевский переулок, 5с3""";"2-й Зачатьевский переулок, 5с3. Монастырь, Жилые районы";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6";"55,7404";
11;"Велосипедная парковка №21004 ""Проспект Академика Сахарова, 10""";"просп. Академика Сахарова, 10. Офисно-деловая зона";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,642";"55,7687";
12;"Велосипедная парковка №21006 ""Арбат, 2/1""";"Рядом с д. 2/1 по ул. Арбат. Вблизи Альфа Арбат центр";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5993";"55,7524";
13;"Велосипедная парковка №21008 ""Земляной Вал, 33""";"ул. Земляной Вал, 33. Атриум";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,6591";"55,7572";
14;"Велосипедная парковка №21014 ""Болотная, 18""";"Болотная улица, 18. Офисы";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,622";"55,7461";
15;"Велосипедная парковка №21017 ""Большая Молчановка, 8""";"Большая Молчановка,8. Магазины, Рестораны";"10";"Департамент капитального ремонта города Москвы";"Департамент капитального ремонта города Москвы";"8 (499)784-18-40";"37,5957";"55,7533";
